wavelength,fwhm
381.0,8.4
388.4,8.4
395.8,8.4
403.2,8.4
410.6,8.4
418.1,8.4
425.5,8.4
432.9,8.4
440.3,8.4
447.7,8.4
455.2,8.4
462.6,8.4
470.0,8.4
477.5,8.4
484.9,8.4
492.3,8.4
499.8,8.4
507.2,8.4
514.7,8.4
522.1,8.4
529.5,8.4
537.0,8.4
544.4,8.4
551.9,8.4
559.3,8.4
566.8,8.4
574.2,8.4
581.7,8.4
589.1,8.4
596.6,8.5
604.0,8.5
611.5,8.5
618.9,8.5
626.4,8.5
633.8,8.5
641.3,8.5
648.7,8.5
656.2,8.5
663.6,8.5
671.1,8.5
678.6,8.5
686.0,8.5
693.5,8.5
700.9,8.5
708.4,8.5
715.8,8.5
723.3,8.5
730.8,8.5
738.2,8.5
745.7,8.5
753.1,8.5
760.6,8.5
768.1,8.5
775.5,8.5
783.0,8.5
790.4,8.5
797.9,8.5
805.4,8.5
812.8,8.5
820.3,8.5
827.7,8.5
835.2,8.5
842.7,8.5
850.1,8.5
857.6,8.5
865.1,8.5
872.5,8.5
880.0,8.5
887.4,8.5
894.9,8.5
902.4,8.5
909.8,8.5
917.3,8.5
924.8,8.5
932.2,8.5
939.7,8.5
947.1,8.5
954.6,8.5
962.1,8.5
969.5,8.5
977.0,8.5
984.4,8.5
991.9,8.5
999.4,8.5
1006.8,8.5
1014.3,8.5
1021.8,8.5
1029.2,8.5
1036.7,8.5
1044.1,8.5
1051.6,8.5
1059.1,8.5
1066.5,8.5
1074.0,8.5
1081.4,8.5
1088.9,8.5
1096.4,8.5
1103.8,8.5
1111.3,8.5
1118.7,8.6
1126.2,8.6
1133.7,8.6
1141.1,8.6
1148.6,8.6
1156.0,8.6
1163.5,8.6
1170.9,8.6
1178.4,8.6
1185.9,8.6
1193.3,8.6
1200.8,8.6
1208.2,8.6
1215.7,8.6
1223.1,8.6
1230.6,8.6
1238.1,8.6
1245.5,8.6
1253.0,8.6
1260.4,8.6
1267.9,8.6
1275.3,8.6
1282.8,8.6
1290.3,8.6
1297.7,8.6
1305.2,8.6
1312.6,8.6
1320.1,8.6
1327.5,8.6
1335.0,8.6
1342.4,8.6
1349.9,8.6
1357.3,8.6
1364.8,8.6
1372.2,8.6
1379.7,8.6
1387.1,8.6
1394.6,8.6
1402.0,8.6
1409.5,8.6
1416.9,8.6
1424.4,8.6
1431.8,8.6
1439.3,8.6
1446.7,8.6
1454.2,8.6
1461.6,8.6
1469.1,8.6
1476.5,8.6
1484.0,8.6
1491.4,8.6
1498.9,8.6
1506.3,8.6
1513.8,8.6
1521.2,8.6
1528.7,8.6
1536.1,8.6
1543.5,8.6
1551.0,8.6
1558.4,8.6
1565.9,8.6
1573.3,8.6
1580.8,8.6
1588.2,8.6
1595.6,8.6
1603.1,8.6
1610.5,8.6
1618.0,8.6
1625.4,8.6
1632.9,8.6
1640.3,8.6
1647.7,8.6
1655.2,8.6
1662.6,8.7
1670.0,8.7
1677.5,8.7
1684.9,8.7
1692.4,8.7
1699.8,8.7
1707.2,8.7
1714.7,8.7
1722.1,8.7
1729.5,8.7
1737.0,8.7
1744.4,8.7
1751.8,8.7
1759.3,8.7
1766.7,8.7
1774.1,8.7
1781.6,8.7
1789.0,8.7
1796.4,8.7
1803.9,8.7
1811.3,8.7
1818.7,8.7
1826.2,8.7
1833.6,8.7
1841.0,8.7
1848.4,8.7
1855.9,8.7
1863.3,8.7
1870.7,8.7
1878.2,8.7
1885.6,8.7
1893.0,8.7
1900.4,8.7
1907.9,8.7
1915.3,8.7
1922.7,8.7
1930.1,8.7
1937.6,8.7
1945.0,8.7
1952.4,8.7
1959.8,8.7
1967.3,8.7
1974.7,8.7
1982.1,8.7
1989.5,8.7
1996.9,8.7
2004.4,8.7
2011.8,8.7
2019.2,8.7
2026.6,8.7
2034.0,8.7
2041.4,8.7
2048.9,8.7
2056.3,8.7
2063.7,8.7
2071.1,8.7
2078.5,8.7
2085.9,8.7
2093.4,8.7
2100.8,8.7
2108.2,8.7
2115.6,8.7
2123.0,8.7
2130.4,8.7
2137.8,8.7
2145.2,8.7
2152.6,8.7
2160.1,8.7
2167.5,8.7
2174.9,8.7
2182.3,8.8
2189.7,8.8
2197.1,8.8
2204.5,8.8
2211.9,8.8
2219.3,8.8
2226.7,8.8
2234.1,8.8
2241.5,8.8
2248.9,8.8
2256.3,8.8
2263.7,8.8
2271.1,8.8
2278.5,8.8
2285.9,8.8
2293.3,8.8
2300.7,8.8
2308.1,8.8
2315.5,8.8
2322.9,8.8
2330.3,8.8
2337.7,8.8
2345.1,8.8
2352.5,8.8
2359.9,8.8
2367.3,8.8
2374.7,8.8
2382.1,8.8
2389.5,8.8
2396.9,8.8
2404.3,8.8
2411.7,8.8
2419.1,8.8
2426.4,8.8
2433.8,8.8
2441.2,8.8
2448.6,8.8
2456.0,8.8
2463.4,8.8
2470.8,8.8
2478.2,8.8
2485.5,8.8
2492.9,8.8